TIME,DTIME,IN,DIN,OUT,DOUT
1440703918,0,3297649288213,0,1187875997352,0
1440703919,1,3297649294235,6022,1187876074849,77497
1440703920,1,3297649296695,2460,1187876085737,10888
1440703921,1,3297649298953,2258,1187876104078,18341
1440703922,1,3297649316751,17798,1187876139479,35401
1440703923,1,3297649337402,20651,1187876180238,40759
1440703924,1,3297649359834,22432,1187876265009,84771
1440703925,1,3297650180466,820632,1187876669098,404089
1440703926,1,3297650616744,436278,1187876874663,205565
1440703927,1,3297650808569,191825,1187876971358,96695
1440703928,1,3297651049510,240941,1187877077218,105860
1440703929,1,3297651204654,155144,1187877187584,110366
1440703930,1,3297651208554,3900,1187877188932,1348
1440703931,1,3297651213755,5201,1187877190562,1630
1440703932,1,3297651261555,47800,1187877223782,33220
1440703933,1,3297651377778,116223,1187877272364,48582
1440703934,1,3297651532674,154896,1187877375993,103629
1440703935,1,3297651782795,250121,1187877498583,122590
1440703936,1,3297652285593,502798,1187877591066,92483
1440703937,1,3297652483293,197700,1187877668777,77711
1440703938,1,3297652507476,24183,1187877692614,23837
1440703939,1,3297652526525,19049,1187877785418,92804
1440703940,1,3297654509695,1983170,1187877955205,169787
1440703941,1,3297655496348,986653,1187878047274,92069
1440703942,1,3297655514805,18457,1187878077694,30420
1440703943,1,3297655898938,384133,1187878252233,174539
1440703944,1,3297656721329,822391,1187878632721,380488
1440703945,1,3297658200237,1478908,1187879001211,368490
1440703946,1,3297666688919,8488682,1187879204633,203422
1440703947,1,3297671889229,5200310,1187879301731,97098
1440703948,1,3297688046271,16157042,1187879484827,183096
1440703949,1,3297688048917,2646,1187879488972,4145
1440703950,1,3297688051405,2488,1187879506850,17878
1440703951,1,3297693647926,5596521,1187879638541,131691
1440703952,1,3297709048837,15400911,1187879841527,202986
1440703953,1,3297709051922,3085,1187879853668,12141
1440703954,1,3297709057805,5883,1187879942108,88440
1440703955,1,3297719276909,10219104,1187880100250,158142
1440703956,1,3297730926912,11650003,1187880273431,173181
1440703958,2,3297730964458,37546,1187880347219,73788
1440703959,1,3297730964866,408,1187880349757,2538
1440703960,1,3297736241191,5276325,1187880426131,76374
1440703961,1,3297752795905,16554714,1187880693237,267106
1440703962,1,3297752809567,13662,1187880723201,29964
1440703963,1,3297752823646,14079,1187880768289,45088
1440703964,1,3297757399881,4576235,1187880872454,104165
1440703965,1,3297773631561,16231680,1187881069211,196757
1440703966,1,3297773634780,3219,1187881082375,13164
1440703967,1,3297773636062,1282,1187881085613,3238
1440703968,1,3297777138378,3502316,1187881133831,48218
1440703969,1,3297795118724,17980346,1187881377243,243412
1440703970,1,3297795153834,35110,1187881526418,149175
1440703971,1,3297795155602,1768,1187881530226,3808
1440703972,1,3297800363733,5208131,1187881606636,76410
1440703973,1,3297816123899,15760166,1187881796051,189415
1440703974,1,3297816131631,7732,1187881819499,23448
1440703975,1,3297816148413,16782,1187881869466,49967
1440703976,1,3297821437646,5289233,1187881972006,102540
1440703977,1,3297837676685,16239039,1187882060986,88980
1440703978,1,3297837679871,3186,1187882074484,13498
1440703979,1,3297837680343,472,1187882078236,3752
1440703980,1,3297843475715,5795372,1187884720075,2641839
1440703981,1,3297858686445,15210730,1187884979657,259582
